1,#,1672,Alahna,Sabbakhan,19,"Washington,",DC,02:11.9,2,
30.455,-30.455,01:04.2,-33.712,01:38.7,-34.488,02:11.9,-33.26,,,
2,#,2770,Alina,Laforest,22,"Chester,",PA,02:13.1,2,
30.434,-30.434,01:04.5,-34.025,01:39.7,-35.22,02:13.1,-33.413,,,
3,#,1797,Reagan,Mahoney,20,"Atlanta,",GA,02:14.0,2,
30.865,-30.865,01:04.5,-33.679,01:39.3,-34.743,02:14.0,-34.677,,,
4,#,2719,Haley,Riorden,19,"Henrietta,",NY,02:14.2,2,
30.886,-30.886,01:05.2,-34.321,01:39.8,-34.579,02:14.2,-34.371,,,
5,#,2199,Emma,Sullivan,20,"Dudley,",MA,02:14.7,2,
30.653,-30.653,01:04.7,-34.057,01:39.7,-35.007,02:14.7,-35.03,,,
6,#,391,Lauren,Fulcher,19,"Troy,",MI,02:15.1,2,
31.073,-31.073,01:05.2,-34.098,01:40.2,-34.993,02:15.1,-34.96,,,
7,#,702,Margaret,Coney,20,Grand,"Rapids,",MI,02:16.1,2
30.639,-30.639,01:04.9,-34.23,01:40.4,-35.486,02:16.1,-35.764,,,
8,#,277,Adia,Palmer,20,"Brooklyn,",NY,02:16.3,1,
32.793,-32.793,01:08.3,-35.48,01:42.4,-34.118,02:16.3,-33.86,,,
9,#,1926,Marianne,Mihas,21,"Chicago,",IL,02:16.3,1,
32.035,-32.035,01:07.4,-35.382,01:43.2,-35.763,02:16.3,-33.073,,,
10,#,704,Cora,Cooke,21,"Charlotte,",NC,02:16.3,2,
30.86,-30.86,01:05.0,-34.122,01:40.1,-35.146,02:16.3,-36.156,,,
11,#,373,Elizabeth,Dalrymp,19,"Clarkston,",MI,02:16.5,1,
32.141,-32.141,01:07.2,-35.081,01:42.0,-34.771,02:16.5,-34.473,,,
12,#,2966,Jenna,Schwinghame,20,"Springboro,",OH,02:17.0,2,
30.972,-30.972,01:05.0,-34.014,01:40.7,-35.68,02:17.0,-36.296,,,
13,#,607,Megan,Marvin,20,Chapel,"Hill,",NC,02:17.1,2
31.164,-31.164,01:05.0,-33.82,01:40.7,-35.693,02:17.1,-36.39,,,
14,#,2523,Allison,Rand,19,"Horton,",MI,02:17.1,1,
33.373,-33.373,01:07.3,-33.955,01:41.8,-34.521,02:17.1,-35.26,,,
15,#,27,Corina,Vidal,20,Atlantic,"Highlands,",02:17.1,1,
33.194,-33.194,01:07.5,-34.281,01:42.3,-34.865,02:17.1,-34.809,,,
16,#,3694,Grace,Hanratty,20,Old,"Saybrook,",CT,02:17.3,1
32.316,-32.316,01:07.4,-35.106,01:42.5,-35.061,02:17.3,-34.838,,,
17,#,1360,Makenna,Heimlich,19,"Shelby,",OH,02:17.7,1,
33.236,-33.236,01:07.9,-34.698,01:42.8,-34.91,02:17.7,-34.887,,,
18,#,1204,Zoe,Harris,20,"Riverside,",CT,02:18.3,1,
33.425,-33.425,01:07.7,-34.325,01:42.9,-35.138,02:18.3,-35.46,,,
19,#,3327,Ella,Auderset,21,"Ijamsville,",MD,02:18.4,1,
33.223,-33.223,01:07.7,-34.467,01:42.7,-34.989,02:18.4,-35.708,,,
20,#,2383,Cassandra,Carleso,20,"Plainfield,",CT,02:19.5,1,
33.024,-33.024,01:07.9,-34.894,01:43.0,-35.036,02:19.5,-36.539,,,
21,#,386,Elizabeth,Bulat,19,Rochester,"Hills,",MI,02:19.7,1
33.468,-33.468,01:08.1,-34.669,01:43.2,-35.1,02:19.7,-36.468,,,
22,#,1911,Victoria,Heiligen,19,Commerce,"Township,",02:23.1,2,
31.401,-31.401,01:05.5,-34.129,01:42.4,-36.859,02:23.1,-40.728,,,
23,#,2534,Erika,Rapp,19,Whitmore,"Lake,",MI,02:23.2,1
33.583,-33.583,01:08.6,-35.02,01:44.9,-36.33,02:23.2,-38.235,,,
24,#,2748,Hannah,Ballowe,19,"Mechanicsville,",VA,02:26.7,2,
31.733,-31.733,01:06.6,-34.888,01:45.4,-38.771,02:26.7,-41.315,,,
25,#,149,Tessa,McClain,20,"Harvard,",MA,02:30.3,1,
34.458,-34.458,01:10.5,-36.039,01:49.7,-39.22,02:30.3,-40.544,,,
