athlete,first_400,second_400,total_time_sec,split_ratio,,,,,
Roisin Willis,60.514,65.186,125.7,1.077205275,,,,,
Athing Mu,59.505,66.347,125.852,1.114981934,,,,,
Bailey Goggans,61.086,65.013,126.099,1.064286416,,,,,
Michaela Rose,59.832,67.092,126.924,1.121339751,,,,,
Victoria Vanriele,61.893,65.348,127.241,1.055822145,,,,,
Maggie Hock,61.833,65.842,127.675,1.064835929,,,,,
Aleeya Hutchins,61.721,66.798,128.519,1.082257254,,,,,
KamiJoi Hickson,62.189,66.388,128.577,1.067519979,,,,,
Sarah Trainor,61.788,66.807,128.595,1.081229365,,,,,
Makayla Paige,60.618,68.353,128.971,1.127602362,,,,,
Lily Flynn,62.034,67.064,129.098,1.081084567,,,,,
Cassandra William,63.092,67.495,130.587,1.069786978,,,,,
Nikki Merrill,62.946,68.032,130.978,1.080799415,,,,,
DeAnna Martin,63.67,67.933,131.603,1.06695461,,,,,
Carina Napoleon,63.536,68.329,131.865,1.075437547,,,,,
Micah Trusty,61.632,70.256,131.888,1.13992731,,,,,
Elizabeth Stanhop,64.247,67.852,132.099,1.056111569,,,,,
Gia Napoleon,62.227,70.132,132.359,1.127034888,,,,,
Maddie Ullom,64.008,68.43,132.438,1.069085114,,,,,
Malia Anderson,65.224,67.351,132.575,1.032610695,,,,,
Oliva Boone,61.354,71.58,132.934,1.1666721,,,,,
Charlotte Tomkins,64.613,68.414,133.027,1.058827171,,,,,
Maxana Grubb,65.697,67.507,133.204,1.027550725,,,,,
Sierra Dinneen,65.629,67.852,133.481,1.033872221,,,,,
Marne Sullivan,64.814,69.314,134.128,1.069429444,,,,,
Ellie Bachmann,65.299,69.121,134.42,1.058530759,,,,,
Taryn Chapko,65.463,69.211,134.674,1.057253716,,,,,
Anna Burnett,65.67,69.813,135.483,1.063088168,,,,,
Ashley Johnson,65.107,70.809,135.916,1.087578909,,,,,
Jodie Pierce,65.626,70.544,136.17,1.07493981,,,,,
Caitlin Rose,65.549,70.728,136.277,1.079009596,,,,,
Maureen Lewin,65.252,71.559,136.811,1.096656041,,,,,
Sophie Novak,65.955,74.117,140.072,1.123751042,,,,,
,,,,,,,,,
